City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Grand Gaube,MU,-20.0064,57.6608,81.0,70,25,8.99,scattered clouds
80,Miles City,US,46.4083,-105.8406,47.37,46,40,23.02,scattered clouds
81,Ilulissat,GL,69.2167,-51.1,8.62,61,100,20.71,light snow
82,Avarua,CK,-21.2078,-159.775,80.65,78,75,10.36,broken clouds
83,Moranbah,AU,-22.0016,148.0466,77.0,77,14,5.3,few clouds
84,Pevek,RU,69.7008,170.3133,-16.67,96,100,0.11,overcast clouds
85,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,80,47,15.46,scattered clouds
86,Antofagasta,CL,-23.65,-70.4,70.88,66,2,8.59,clear sky
87,Saint George,US,37.1041,-113.5841,65.32,20,0,1.99,clear sky
88,Sao Filipe,CV,14.8961,-24.4956,73.42,75,100,4.16,overcast clouds
89,Upington,ZA,-28.4478,21.2561,73.78,83,88,8.05,overcast clouds
90,Daloa,CI,6.8774,-6.4502,76.91,18,32,2.73,scattered clouds
91,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,70,75,6.91,light snow
92,Chokurdakh,RU,70.6333,147.9167,-17.81,97,100,1.97,overcast clouds
93,Mahebourg,MU,-20.4081,57.7,80.89,74,75,18.41,broken clouds
94,Verkhnevilyuysk,RU,63.4453,120.3167,-29.2,100,95,3.38,overcast clouds
95,Okhotsk,RU,59.3833,143.3,4.35,75,86,17.31,overcast clouds
96,Nhulunbuy,AU,-12.2333,136.7667,81.21,89,40,5.75,scattered clouds
97,Cayenne,GF,4.9333,-52.3333,82.44,82,75,5.01,broken clouds
98,Dubbo,AU,-32.25,148.6167,71.73,94,24,2.3,few clouds
99,Finschhafen,PG,-6.6024,147.8681,79.84,81,100,1.88,overcast clouds
100,Kavaratti,IN,10.5669,72.642,80.49,72,2,10.58,clear sky
101,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,83,75,8.05,broken clouds
102,Khudumelapye,BW,-23.8833,24.75,74.98,53,100,8.59,overcast clouds
103,Hamilton,US,39.1834,-84.5333,42.24,54,0,1.01,clear sky
104,Jamestown,US,42.097,-79.2353,35.24,37,0,4.61,clear sky
105,Dekar,BW,-21.5333,21.9333,69.42,83,33,10.45,light rain
106,Puerto Ayora,EC,-0.7393,-90.3518,78.76,92,62,4.0,broken clouds
107,Wanaka,NZ,-44.7,169.15,65.1,63,100,3.96,overcast clouds
108,Faanui,PF,-16.4833,-151.75,81.25,71,3,18.07,clear sky
109,Almaznyy,RU,48.0448,40.045,32.14,89,100,14.61,overcast clouds
110,Turayf,SA,31.6725,38.6637,43.05,75,40,8.05,scattered clouds
111,Bethel,US,41.3712,-73.414,31.17,42,95,2.08,overcast clouds
112,Qaanaaq,GL,77.484,-69.3632,-21.33,44,0,7.9,clear sky
113,Severo-Kurilsk,RU,50.6789,156.125,28.56,73,100,18.5,overcast clouds
114,Bredasdorp,ZA,-34.5322,20.0403,74.28,88,69,8.05,broken clouds
115,Mingshui,CN,36.7167,117.5,25.29,35,2,2.62,clear sky
116,Porto Novo,BJ,6.4965,2.6036,80.42,72,54,6.87,broken clouds
117,Lebu,CL,-37.6167,-73.65,61.18,66,0,19.33,clear sky
118,Forestville,US,38.8451,-76.875,39.06,54,0,8.05,clear sky
119,Mount Gambier,AU,-37.8333,140.7667,60.71,77,75,10.36,broken clouds
120,Half Moon Bay,US,37.4636,-122.4286,63.28,77,0,1.99,mist
121,Baijiantan,CN,45.6333,85.1833,1.92,95,41,1.3,scattered clouds
122,Arlit,NE,18.7369,7.3853,59.02,17,0,9.1,clear sky
