City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Meulaboh,ID,2022-01-30 00:14:35,4.1363,96.1285,75.52,91,63,5.06
68,Vao,NC,2022-01-30 00:14:36,-22.6667,167.4833,79.39,85,61,13.91
69,Severo-Kurilsk,RU,2022-01-30 00:14:36,50.6789,156.125,24.87,82,96,17.74
70,Kargopol,RU,2022-01-30 00:14:37,61.5071,38.9456,3.33,100,100,5.23
71,Pevek,RU,2022-01-30 00:12:18,69.7008,170.3133,-17.34,99,95,3.71
72,Padang,ID,2022-01-30 00:14:39,-0.9492,100.3543,75.25,92,95,5.17
73,Praia Da Vitoria,PT,2022-01-30 00:14:39,38.7333,-27.0667,59.25,88,75,11.52
74,Mar Del Plata,AR,2022-01-30 00:13:54,-38.0023,-57.5575,77.02,61,0,17.27
75,Castro,BR,2022-01-30 00:14:41,-24.7911,-50.0119,59.81,99,100,6.29
76,Mondeville,FR,2022-01-30 00:14:41,49.175,-0.3224,50.74,93,75,10.36
77,Bluff,NZ,2022-01-30 00:14:42,-46.6,168.3333,60.19,82,100,8.08
78,East London,ZA,2022-01-30 00:14:43,-33.0153,27.9116,69.85,86,72,7.78
79,Bambanglipuro,ID,2022-01-30 00:14:44,-7.95,110.2833,78.69,84,100,2.71
80,Samana,DO,2022-01-30 00:14:45,19.2056,-69.3369,74.16,77,5,4.63
81,Atasu,KZ,2022-01-30 00:14:45,48.6814,71.6433,19.29,95,100,13.56
82,Lasa,IT,2022-01-30 00:14:46,46.6166,10.7002,45.86,76,15,9.1
83,Santa Marta,CO,2022-01-30 00:14:34,11.2408,-74.199,81.9,52,35,14.0
84,Bereda,ES,2022-01-30 00:14:47,43.2686,-7.5406,45.91,97,100,2.04
85,Tornio,FI,2022-01-30 00:14:48,65.8481,24.1466,21.22,91,97,13.69
86,Muroto,JP,2022-01-30 00:14:49,33.2833,134.15,46.44,63,99,4.94
87,Grand-Santi,GF,2022-01-30 00:14:50,4.25,-54.3833,71.62,96,40,2.64
88,Seoul,KR,2022-01-30 00:11:12,37.5683,126.9778,22.44,31,80,2.57
89,Kaitangata,NZ,2022-01-30 00:14:51,-46.2817,169.8464,56.59,93,100,6.33
90,Leningradskiy,RU,2022-01-30 00:14:09,69.3833,178.4167,-10.08,91,63,5.06
91,Torres,BR,2022-01-30 00:14:52,-29.3353,-49.7269,68.83,79,69,6.96
92,Baykit,RU,2022-01-30 00:14:53,61.67,96.37,-10.52,100,98,1.52
93,Tiarei,PF,2022-01-30 00:14:54,-17.5333,-149.3333,82.42,75,97,10.74
94,Carandai,BR,2022-01-30 00:14:54,-20.9536,-43.8064,64.67,92,75,4.88
95,Butaritari,KI,2022-01-30 00:15:41,3.0707,172.7902,82.56,72,81,18.54
96,Lahat,ID,2022-01-30 00:15:55,-3.8,103.5333,73.35,96,100,1.3
97,Chapais,CA,2022-01-30 00:15:56,49.7834,-74.8492,-18.62,99,8,2.75
98,Banda Aceh,ID,2022-01-30 00:15:57,5.5577,95.3222,79.02,77,90,5.06
99,Touros,BR,2022-01-30 00:15:58,-5.1989,-35.4608,77.9,82,85,9.66
100,Ilulissat,GL,2022-01-30 00:15:59,69.2167,-51.1,10.42,72,75,18.41
101,Jamestown,US,2022-01-30 00:11:14,42.097,-79.2353,7.92,85,0,6.91
102,Hermanus,ZA,2022-01-30 00:16:00,-34.4187,19.2345,66.79,81,2,11.01
103,Townsville,AU,2022-01-30 00:15:45,-19.25,146.8,85.08,66,75,12.66
104,Sonoita,MX,2022-01-30 00:16:01,31.85,-112.8333,72.54,16,12,4.34
105,Kodiak,US,2022-01-30 00:16:02,57.79,-152.4072,35.11,55,0,12.66
106,Hoyerswerda,DE,2022-01-30 00:16:03,51.4333,14.25,45.01,68,88,25.86
107,Torbay,CA,2022-01-30 00:16:04,47.6666,-52.7314,37.27,95,100,23.02
108,Alexander City,US,2022-01-30 00:11:38,32.944,-85.9539,37.58,32,1,3.44
109,Nishihara,JP,2022-01-30 00:16:06,26.1842,127.7558,63.68,94,100,10.36
